idx,word
0,3731
1,8872
2,3893
3,3571
4,3961
5,0066
6,3761
7,3950
8,3606
9,0042
10,0047
11,3895
12,3995
13,3723
14,8856
15,9904
16,9744
17,8961
18,0014
19,0151
20,3613
21,3615
22,9905
23,9907
24,8852
25,3772
26,3783
27,8945
28,3479
29,7761
30,3932
31,3403
32,8674
33,7851
34,5361
35,7861
36,544
37,9977
38,9671
39,9604
40,3722
41,3614
42,8853
43,8845
44,4104
45,9925
46,9915
47,4513
48,966
49,4131
50,8611
51,8843
52,9910
53,9912
54,3142
55,3897
56,3521
57,3611
58,3845
59,311
60,9672
61,3891
62,9390
63,4311
64,3324
65,0159
66,4443
67,3942
68,8849
69,4516
70,0481
71,5411
72,5495
73,9782
74,5498
75,5523
76,9971
77,9960
78,5491
79,8867
80,391
81,3491
82,8964
83,3601
84,8842
85,3818
86,3957
87,3990
88,0041
89,0045
90,8848
91,0044
92,4573
93,4621
94,5472
95,3323
96,3812
97,8841
98,7781
99,343
100,8622
101,7841
102,8382
103,0309
104,5551
105,403
106,0722
107,3522
108,554
109,3926
110,4562
111,4574
112,4579
113,4641
114,4439
115,3844
116,0013
117,3959
118,9605
119,3451
120,9900
121,0124
122,8659
123,0017
124,9929
125,8847
126,8051
127,7789
128,8104
129,8452
130,8162
131,5011
132,5059
133,0093
134,8754
135,9906
136,4524
137,8605
138,5503
139,598
140,5593
141,8775
142,9634
143,3972
144,022
145,3524
146,0331
147,3239
148,4523
149,341
150,3605
151,8628
152,3607
153,8191
154,5137
155,8864
156,0046
157,0040
158,2101
159,8857
160,3974
161,4593
162,4525
163,4542
164,387
165,9607
166,4233
167,3492
168,9921
169,3404
170,8411
171,016
172,2263
173,2242
174,0123
175,8345
176,9920
177,9229
178,4519
179,4675
180,539
181,5459
182,3512
183,3804
184,8968
185,3764
186,3778
187,3971
188,3979
189,5187
190,5185
191,8962
192,5201
193,5122
194,8753
195,430
196,5349
197,3998
198,3949
199,3848
200,3808
201,9749
202,3927
203,9962
204,0011
205,9606
206,3523
207,3814
208,8607
209,3721
210,8855
211,0012
212,458
213,4623
214,4432
215,5412
216,9914
217,5369
218,5794
219,3539
220,3922
221,3612
222,3712
223,5351
224,5012
225,4639
226,5151
227,4442
228,9755
229,5198
230,5112
231,8876
232,9608
233,9462
234,4561
235,3409
236,9648
237,0131
238,7935
239,9705
240,5169
241,4709
242,5110
243,9961
244,8412
245,864
246,7769
247,8309
248,3821
249,5188
250,3929
251,8914
252,8105
253,034
254,8163
255,8960
256,4462
257,4543
258,3321
259,8949
260,370
261,3867
262,3807
263,9465
264,8672
265,3533
266,3604
267,4431
268,3794
269,3892
270,9983
271,9955
272,3733
273,0110
274,8751
275,5749
276,570
277,9649
278,5474
279,8451
280,0221
281,8669
282,5091
283,504
284,5179
285,4029
286,324
287,3422
288,4011
289,3931
290,3322
291,5101
292,9723
293,0113
294,1755
295,3799
296,4399
297,445
298,3726
299,5419
300,5462
301,5103
302,9359
303,4319
304,3424
305,5569
306,3806
307,5524
308,0092
309,3951
310,0043
311,346
312,3421
313,4413
314,0239
315,3174
316,8415
317,9356
318,5102
319,5771
320,5651
321,3201
322,325
323,8609
324,5732
325,3886
326,540
327,7674
328,8604
329,3749
330,4541
331,3339
332,0139
333,640
334,8229
335,8673
336,8011
337,8395
338,3199
339,9737
340,9656
341,4601
342,4863
343,6549
344,0051
345,4023
346,4823
347,315
348,2171
349,3228
350,3391
351,3964
352,3514
353,3782
354,3771
355,8891
356,0024
357,4242
358,9703
359,8339
360,0118
361,7974
362,9344
363,9928
364,8874
365,9909
366,0234
367,415
368,3179
369,3348
370,9815
371,9609
372,8675
373,7777
374,323
375,3943
376,9803
377,9396
378,3894
379,9917
380,5839
381,3736
382,5464
383,8762
384,3965
385,5280
386,5359
387,4429
388,5252
389,3551
390,7969
391,4281
392,5424
393,8851
394,4611
395,4719
396,4642
397,4651
398,4673
399,5461
400,4594
401,4862
402,4652
403,4674
404,4576
405,8774
406,9729
407,0390
408,3326
409,4824
410,8919
411,8103
412,0353
413,0359
414,5141
415,3952
416,3925
417,0392
418,5795
419,4591
420,688
421,3129
422,527
423,503
424,5163
425,2319
426,5493
427,3619
428,9636
429,0202
430,3885
431,3616
432,8108
433,8873
434,4632
435,437
436,9468
437,5136
438,3327
439,8151
440,9633
441,7748
442,7788
443,843
444,9659
445,8623
446,9979
447,9903
448,4676
449,8365
450,8683
451,4693
452,0294
453,9341
454,3779
455,3777
456,3789
457,0212
458,9741
459,4575
460,3774
461,7902
462,8192
463,7967
464,7818
465,863
466,4701
467,5282
468,526
469,3973
470,3803
471,3956
472,9923
473,7936
474,5451
475,3144
476,3141
477,8154
478,7679
479,7932
480,7692
481,7672
482,0881
483,2181
484,0243
485,5164
486,4681
487,280
488,4610
489,4105
490,9702
491,485
492,9802
493,3399
494,560
495,5123
496,5114
497,5184
498,3923
499,8803
500,4241
501,4389
502,8106
503,8099
504,7779
505,0094
506,4671
507,0048
508,7939
509,3552
510,8102
511,4620
512,4694
513,3699
514,3229
515,8164
516,7869
517,7867
518,8087
519,7767
520,4287
521,5380
522,3846
523,3924
524,4466
525,3499
526,4282
527,4461
528,4223
529,4595
530,4679
531,8814
532,3193
533,3143
534,5022
535,0061
536,0063
537,4292
538,7915
539,0033
540,524
541,3511
542,4643
543,8879
544,8016
545,3734
546,3727
547,3725
548,3728
549,9919
550,0125
551,0153
552,8401
553,5421
554,4064
555,5222
556,543
557,8417
558,3868
559,3596
560,7749
561,5641
562,4613
563,4881
564,7747
565,8321
566,0055
567,5051
568,8076
569,0109
570,0206
571,344
572,8332
573,9425
574,2103
575,3809
576,8342
577,5671
578,6951
579,8844
580,4869
581,4603
582,0071
583,7962
584,7914
585,3452
586,4024
587,0039
588,8601
589,3966
590,7799
591,4572
592,9969
593,3329
594,3834
595,3963
596,5310
597,625
598,8721
599,0052
600,3797
601,8959
602,3328
603,2912
604,4836
605,8627
606,9224
607,3527
608,3816
609,3955
610,9354
611,374
612,8801
613,4252
614,4422
615,3459
616,5717
617,8865
618,3805
619,4444
620,5502
621,4533
622,3822
623,4512
624,5069
625,3343
626,7731
627,8314
628,9357
629,5504
630,4341
631,3776
632,4534
633,5499
634,4582
635,0412
636,2757
637,0611
638,3899
639,6561
640,2751
641,5994
642,2309
643,7855
644,3484
645,3493
646,0407
647,9638
648,5423
649,3791
650,7917
651,5341
652,2219
653,5296
654,7933
655,7934
656,0443
657,043
658,7785
659,8085
660,7765
661,8744
662,8938
663,8703
664,3241
665,3320
666,5783
667,5631
668,8741
669,8013
670,5293
671,9756
672,9762
673,3378
674,4685
675,623
676,3724
677,8152
678,7865
679,5789
680,5718
681,7966
682,4502
683,4195
684,4103
685,303
686,3009
687,8005
688,8456
689,8083
690,0050
691,3401
692,8302
693,4682
694,9788
695,9902
696,3220
697,435
698,3887
699,6909
700,537
701,8081
702,4530
703,0609
704,8854
705,0242
706,0102
707,9547
708,3420
709,5425
710,613
711,1424
712,5475
713,0114
714,7817
715,7905
716,064
717,3889
718,0782
719,3882
720,3402
721,7906
722,9751
723,8107
724,3883
725,3953
726,5013
727,3406
728,4514
729,8138
730,8135
731,7745
732,8689
733,8667
734,8543
735,8541
736,857
737,8165
738,9761
739,8662
740,7963
741,8236
742,8861
743,586
744,8153
745,0064
746,8589
747,4041
748,6902
749,3999
750,4571
751,610
752,0091
753,3888
754,8015
755,7787
756,9814
757,3781
758,4441
759,7676
760,3505
761,5132
762,9901
763,4522
764,304
765,5143
766,8086
767,8133
768,0689
769,0602
770,1742
771,9999
772,310
773,0293
774,0122
775,8385
776,8313
777,5781
778,576
779,5674
780,5463
781,4467
782,7768
783,0302
784,9227
785,9627
786,9635
787,7809
788,0203
789,4438
790,0015
791,5111
792,9972
793,8472
794,8101
795,7868
796,7050
797,7077
798,9353
799,8838
800,0639
801,7819
802,7909
803,7971
804,8006
805,6839
806,5902
807,2102
808,5492
809,0084
810,3249
811,2911
812,8244
813,3787
814,8344
815,3425
816,3930
817,3775
818,3482
819,5061
820,8761
821,3768
822,3766
823,684
824,4945
825,4921
826,5501
827,7975
828,7813
829,8866
830,5029
831,3863
832,3941
833,4469
834,5792
835,7805
836,8181
837,8534
838,4342
839,8349
840,3732
841,9655
842,8877
843,0765
844,8113
845,5104
846,0072
847,9952
848,6029
849,8776
850,9963
851,4511
852,8363
853,7863
854,500
855,222
856,8777
857,7926
858,605
859,7931
860,8663
861,7847
862,7807
863,251
864,4021
865,062
866,9355
867,2211
868,0126
869,4672
870,3798
871,9981
872,0851
873,8147
874,9230
875,0291
876,7639
877,7976
878,3561
879,5209
880,7901
881,6816
882,5301
883,3711
884,5553
885,9701
886,0852
887,8343
888,9939
889,9941
890,4289
891,7907
892,7859
893,9959
894,3975
895,0065
896,7770
897,3472
898,0205
899,9657
900,3259
901,0391
902,8319
903,3473
904,4224
905,0479
906,5121
907,3525
908,8897
909,3481
910,7849
911,3532
912,3572
913,8457
914,7812
915,184
916,2632
917,2759
918,5211
919,6849
920,3962
921,2501
922,0395
923,0062
924,0128
925,7937
926,8388
927,0070
928,3976
929,7904
930,5014
931,6829
932,0204
933,2121
934,0762
935,0032
936,5300
937,5371
938,0059
939,4686
940,8137
941,762
942,4463
943,0295
944,9601
945,2172
946,5183
947,7771
948,6539
949,8471
950,252
951,7675
952,5259
953,4042
954,2749
955,7643
956,7791
957,0211
958,7916
959,7309
960,734
961,1736
